Family,Genus,Species,CommonName,GrowthRate,HardinessZones,Height,Width,Type,Leaf,Flower,Ripen,Reproduction,Soils,pH,Preferences,Tolerances,Habitat,HabitatRange,Edibility,Medicinal,OtherUses,,
Nymphaeaceae,Nymphaea,odorata,"Fragrant Water Lily, American white waterlily",medium,"[4, 5, 6, 7, 8]",for,3-6 feet (0.9-1.8 meters),PERENNIAL.,"Round, floating, glossy green leaves, up to 12 inches (30 cm) in diameter",July to August,August to October,hermaphrodite,"['light', 'medium', 'heavy']","mildly acid, neutral and basic (mildly alkaline)",[],"Tolerates full sun to partial shade, prefers still or slow-moving water, and is hardy in USDA zones 3-10","Acidic or alkaline ponds, lakes, sluggish streams and rivers, pools in marshes, ditches, canals, or sloughs from sea level to 1700 metres[270].","N. America - Newfoundland to British Columbia, south to California, Florida, Mexico and Cuba.",(3 of 5),(3 of 5),(0 of 5),,
Lauraceae,Laurus,nobilis,"Bay Tree, Sweet bay, Grecian Laurel, True Laurel,",slow,[],to,10,evergreen,"Evergreen, lanceolate, glossy dark green, aromatic",April to May.,"N/A (as it refers to the fruit, which is typically harvested when mature)",dioecious,"['light', 'medium', 'heavy']","mildly acid, neutral and basic (mildly alkaline)","[' well-drained soil. Suitable pH: mildly acid, neutral']","Drought-tolerant, salt-tolerant, shade-tolerant","Damp rocks and ravines, thickets and old walls[89].",S. Europe.,(3 of 5),(3 of 5),(4 of 5),,
Lauraceae,Lindera,benzoin,"Spice Bush, Northern spicebush, Bush Northern Spice",slow,"[4, 5, 6, 7, 8, 9]",3,3,deciduous,"Elliptical, glossy green, 3-10 cm long, with entire margins and aromatic when crushed.",April,August to September,dioecious,"['light', 'medium', 'heavy']",mildly acid and neutral soils and can grow in very acid,[],"Tolerates partial shade, moist to wet soil, and is moderately drought-tolerant once established.","Wet woods and by streams[184] on sandy or peaty soils[149]. Stream banks, low woods, margins of wetlands; uplands, especially with exposed limestone, from sea level to 1200 metres[270].","Eastern N. America - Maine and Ontario to Kentucky, Missouri and Kansas.",(3 of 5),(3 of 5),(3 of 5),,
Lauraceae,Litsea,cubeba,"Mountain Pepper, Litsea",medium,"[1, 2]",7,3-5 meters,deciduous,"Glossy, lanceolate, 5-10 cm long",March to April,August to September,hermaphrodite,"['light', 'medium', 'heavy']","mildly acid, neutral and basic (mildly alkaline)",[],"Drought-tolerant, shade-tolerant, frost-sensitive","Sunny slopes, thickets, sparse forests, roadsides, watersides, 500 - 3200 metres in Anhui, Fujian, Guangdong, Guangxi, Guizhou, Hubei, Hunan, Jiangsu, Jiangxi, Sichuan, Xizang, Yunnan, Zhejiang[266].","E. Asia - China, Japan, Indian subcontinent, Myanmar, Thailand, Laos, Vietnam, Malaysia, Indonesia.",(2 of 5),(2 of 5),(4 of 5),,
Annonaceae,Asimina,triloba,Papaw,slow,"[5, 6, 7, 8]",4.5,4,deciduous,"Oblong, dark green, and glossy, with a smooth margin and a length of 6-12 inches.",May to June,October,hermaphrodite,['medium'],"mildly acid, neutral and basic (mildly alkaline)","[' well-drained soil. Suitable pH: mildly acid, neutral']",Moderate drought tolerance, prefers well-drained soil and partial shade.,"An understorey tree of woodlands, growing in deep rich moist soils of river valleys and bottomlands, often forming dense thickets[229].","South-eastern N. America - New Jersey to Florida, west to Texas and Nebraska.",(4 of 5),(2 of 5),(3 of 5),
Saururaceae,Houttuynia,cordata,"Tsi, Chameleon, Rainbow Plant, Chameleon Plant",fast,[],0.6,1,PERENNIAL,"Heart-shaped, glossy green with a distinctive red or purple tinge on the edges",June.,N/A (as this plant is primarily grown for its foliage and not for fruit),hermaphrodite,"['light', 'medium', 'heavy']","mildly acid, neutral and basic (mildly alkaline)",[' moist or  wet soil'],"Wet soil, partial shade, drought (once established)",Shrubberies and damp places to 2400 metres in the Himalayas[51]. Often found as a weed in wet fields[187].,"E. Asia - China, Japan, Himalayas.",(4 of 5),(3 of 5),(2 of 5),,
Araceae,Acorus,calamus,Sweet Flag - Calamus,medium,[],1,1,PERENNIAL,"Long, narrow, sword-like leaves, typically 1-3 feet in length",May to July,July to August,hermaphrodite,"['light', 'medium', 'heavy']","mildly acid, neutral and basic (mildly alkaline)",[' wet soil'],"Wet soil, occasional flooding, and partial shade","Found in moist soils and shallow water in ditches, marshes, river edges and ponds[1, 100, 187, 244].","Europe, Asia and N. America. Naturalized in Britain[17].",(3 of 5),(4 of 5),(4 of 5),,
Alismataceae,Sagittaria,latifolia,"Duck Potato, Broadleaf Arrowhead",medium,"[6, 7, 8, 9]",1.2,0.3,PERENNIAL,"Broad, arrowhead-shaped, up to 12 inches long",July to September,August to September,monoecious,"['light', 'medium', 'heavy']","mildly acid, neutral and basic (mildly alkaline)",[' wet soil'],"Wet soil, occasional flooding, partial shade","Ditches, ponds, lakes and swampy areas in most parts of N. America[60].",N. America - all areas except the far north. Naturalized in various parts of Europe[50].,(5 of 5),(1 of 5),(0 of 5),,
Alismataceae,Sagittaria,cuneata,"Wapato, arumleaf arrowhead",medium,"[5, 6, 7, 8, 9]",0.8,1-3 feet,PERENNIAL,"Arrow-shaped, up to 12 inches long",July to August.,Late summer to early fall,monoecious,"['light', 'medium', 'heavy']","mildly acid, neutral and basic (mildly alkaline) soils and can grow in very alkaline",[' wet soil'],"Wet soils, partial shade, occasional flooding","Calcareous or muddy shores and shallow waters of rivers, lakes, ponds, pastures, and ditches, occasional in tidal waters, or in deep flowing water with slow current; 100 - 2500 metres[43, 270].","N. America - Nova Scotia to British Columbia, south to Connecticut, Kansas, and California.",(4 of 5),(1 of 5),(0 of 5),,
Araceae,Arisaema,flavum,,medium,"[6, 7, 8, 9]",0.4,1-2 feet,PERENNIAL,"Large, palmate, dark green with prominent veins",June to July,June to July,monoecious,"['light', 'medium']","mildly acid, neutral and basic (mildly alkaline)","[' well-drained soil. Suitable pH: mildly acid, neutral', ' moist soil']",['drought'],"Mountain slopes, farmland edges and roadsides in sub-alpine steppe, 3500 - 4300 metres in Tibet[91]. Locally common in Kashmir on humus-rich soils[145].",E. Asia - Himalayas to China. N. Africa - Yemen.,(2 of 5),(1 of 5),(1 of 5),,
Lemnaceae,Lemna,gibba,"Gibbous Duckweed, Swollen duckweed, Windbags, Duckweed",fast,"[3, 4, 5, 6, 7, 8, 9, 10, 11]",0.2,1-3 mm,PERENNIAL,"Small, oval to elliptical, floating leaves","Rarely flowers; when it does, small and inconspicuous",Not applicable (as it primarily reproduces vegetatively),monoecious,[],neutral and basic (mildly alkaline),[],"Tolerant of low light, nutrient-rich waters, and varying pH levels","Still waters in Britain[17]. Eutrophic, quiet waters in temperate regions with mild winters[270].","Temperate areas in Europe, including Britain, to the Himalayas, Africa, S. and N. America.",(3 of 5),(0 of 5),(0 of 5),,
